1
255 92 300000
219 41 235 68
62 79 189 90
254 30 254 86
134 43 139 54
17 14 130 88
196 43 219 74
87 42 237 91
126 89 175 92
235 68 245 84
109 20 124 91
134 89 236 89
148 63 210 84
214 58 252 88
227 56 240 90
240 29 252 67
233 37 235 47
197 31 245 33
148 90 201 92
46 72 166 92
7 12 7 59
8 84 58 88
121 72 205 87
217 22 220 45
44 50 244 71
150 8 188 32
106 79 120 89
222 24 244 91
29 23 100 33
100 13 230 13
108 80 251 85
203 67 250 72
117 53 252 84
174 7 205 87
133 51 180 84
33 24 46 51
118 28 172 44
78 77 235 80
136 19 215 70
161 76 203 78
217 13 248 45
131 25 234 28
102 67 131 82
162 33 166 83
156 30 176 63
76 51 251 66
252 42 255 67
90 91 198 92
82 79 172 89
46 61 104 85
236 63 246 73
52 62 147 67
246 30 254 34
10 24 78 91
93 64 143 75
155 77 243 80
59 43 94 59
234 76 235 92
220 14 243 53
78 36 200 75
86 11 248 49
86 71 253 81
34 2 217 69
45 85 241 89
212 92 235 92
27 2 240 88
226 49 254 66
10 51 85 67
235 74 246 87
163 89 174 89
164 72 193 77
249 88 251 92
68 43 140 84
67 6 74 70
138 91 226 92
36 54 65 89
206 87 212 90
9 86 92 90
164 13 168 53
18 85 224 85
144 91 161 92
141 29 252 60
69 17 146 39
127 74 237 78
120 53 156 86
66 13 209 80
71 82 186 89
169 90 201 92
166 1 181 1
196 62 252 92
232 51 249 91
161 6 180 8
199 48 209 66
172 71 254 87
18 42 85 85
153 15 188 85
88 68 198 87
92 10 136 78
46 60 155 79
53 87 117 90
127 37 226 81
77 35 138 57
241 82 253 90
219 53 231 75
88 65 102 65
102 73 160 84
51 64 131 88
7 20 98 90
69 76 134 91
72 53 156 66
52 49 94 66
17 80 229 84
190 68 217 92
30 70 200 72
248 16 252 33
9 82 109 87
36 60 200 83
234 19 237 26
15 4 110 66
125 51 204 69
137 72 178 84
94 41 100 72
101 52 147 82
82 16 210 54
10 22 125 54
162 87 191 89
24 2 33 65
10 19 179 48
152 37 155 92
170 92 201 92
65 87 186 89
155 15 199 48
201 38 241 64
131 81 250 82
74 20 92 72
64 71 229 76
174 60 230 88
38 40 227 64
59 50 72 53
195 31 209 69
154 39 183 92
195 30 213 65
134 46 255 71
209 68 233 73
118 5 218 53
152 91 208 91
98 65 219 68
75 79 156 80
21 1 160 73
62 26 116 82
15 3 199 58
145 61 157 90
123 52 220 82
241 73 255 74
173 39 207 49
217 60 219 89
56 37 108 59
241 12 245 20
140 56 159 67
248 27 248 74
46 71 94 84
65 62 230 91
119 88 224 89
183 29 253 77
103 7 144 12
1 44 4 75
9 76 78 84
34 10 59 68
226 25 250 78
59 61 171 89
250 37 254 50
84 47 100 66
104 46 147 74
180 76 204 88
116 84 169 90
78 25 82 34
82 52 209 76
185 2 206 25
91 58 247 88
64 41 142 53
228 87 246 91
117 1 213 24
35 52 96 62
96 65 161 82
24 44 225 52
184 82 222 92
29 58 172 73
178 20 244 35
108 41 141 73
83 90 133 92
202 7 255 65
223 77 247 88
54 91 218 92
218 73 252 88
41 66 84 78
132 88 170 91
240 65 249 84
128 61 156 80
135 53 225 85
122 30 151 38
15 14 57 44
98 42 204 71
78 13 167 84
179 76 252 81
200 19 250 46
212 6 244 10
216 59 225 84
254 35 255 62
107 4 138 48
185 30 247 85
189 28 228 34
98 53 249 53
173 82 190 86
75 54 224 56
162 45 184 75
98 69 121 71
249 14 250 39
110 20 171 28
139 7 231 81
86 74 170 92
63 46 137 68
129 45 225 55
43 10 82 22
186 68 189 89
199 59 208 76
47 33 63 41
178 69 227 86
249 76 253 80
127 84 146 90
186 38 208 88
159 91 176 92
196 47 199 85
203 25 208 58
210 44 217 61
15 42 18 88
91 2 238 63
212 28 218 77
223 82 225 91
13 19 247 65
96 58 97 76
220 40 240 82
210 83 216 90
99 11 99 15
43 89 154 90
138 73 190 74
121 60 172 86
105 47 251 78
146 51 228 71
184 33 190 42
74 71 239 72
85 56 116 67
191 88 193 89
204 16 221 21
182 45 212 76
10 55 39 64
1 83 17 85
254 48 254 88
122 78 199 87
235 24 253 85
20 92 228 92
175 29 183 37
107 52 145 53
171 86 245 88
248 37 252 87
180 20 234 41
73 52 201 87
150 36 249 57
68 77 128 78
168 23 216 67
142 86 187 89
235 60 250 71
234 10 253 15
65 50 111 68
190 36 207 78
38 40 167 47
148 34 156 56
147 58 151 67
58 79 65 88
80 63 107 80
106 1 202 55
112 81 248 88
8 35 141 71
81 87 211 92
231 72 238 76
45 23 215 35
172 58 252 76
63 20 156 51
173 8 210 73
116 54 119 72
118 40 237 60
47 73 85 76
75 22 172 53
25 2 58 48
74 72 206 72
4 42 65 63
19 67 192 73
97 12 167 69
253 48 255 85
63 43 212 75
234 1 244 16
220 30 230 44
26 4 143 71
206 62 254 62
25 52 172 71
175 12 206 28
56 75 202 91
225 25 249 30
152 80 229 90
227 92 237 92
71 19 207 19
178 63 202 71
100 64 247 65
186 62 237 85
225 64 236 76
219 10 252 28
202 76 246 83
123 63 185 91
30 68 58 88
166 79 173 88
60 2 151 63
195 41 243 64
91 72 141 73
215 3 216 87
27 25 251 43
87 76 247 91
20 4 93 17
133 6 251 52
12 39 218 87
110 42 178 75
170 18 191 21
226 67 237 77
71 42 145 74
139 91 175 91
190 18 223 72
143 30 224 46
228 50 242 72
196 16 199 91
120 91 153 92
237 31 253 60
177 80 255 89
21 79 127 86
89 31 143 64
105 36 155 47
122 65 215 72
176 48 227 74
144 66 158 66
206 58 247 77
95 2 189 90
208 24 251 91
68 75 172 92
151 51 233 83
163 72 195 86
133 5 224 66
228 48 236 92
190 17 218 91
123 77 202 82
2 32 10 48
127 17 134 56
136 76 218 86
93 4 135 8
244 44 250 54
138 36 138 65
91 80 238 88
210 84 213 85
206 16 209 82
53 6 171 61
9 10 33 71
71 29 253 91
25 9 193 53
57 51 70 68
165 62 225 62
89 40 161 68
65 75 124 76
45 25 233 49
78 47 118 92
38 54 170 84
109 19 148 81
79 25 140 85
3 52 88 78
161 40 248 59
200 70 210 77
216 47 223 92
111 59 248 81
223 72 229 77
83 18 151 58
77 77 175 87
61 73 193 78
231 77 250 82
54 48 70 75
201 79 205 87
103 55 123 87
130 78 246 79
142 44 232 77
86 88 130 91
130 70 212 87
10 43 72 62
64 63 166 89
55 42 187 51
148 83 152 87
60 25 66 53
199 18 203 48
54 33 215 81
98 74 158 88
136 45 187 72
131 75 200 92
250 60 251 69
60 82 126 84
98 40 217 79
11 31 190 63
215 77 231 92
210 54 220 83
11 44 125 52
250 89 254 90
22 60 138 72
5 33 252 86
234 24 249 61
200 61 234 68
204 19 215 61
47 66 187 72
218 19 252 49
12 13 253 70
42 7 228 11
122 83 210 84
243 5 246 72
85 52 155 77
201 64 227 92
177 9 244 83
101 47 119 64
250 26 250 32
126 36 169 92
12 69 92 83
60 46 243 72
233 85 244 92
167 36 205 72
126 72 141 87
187 39 243 47
243 61 247 87
125 44 250 89
141 22 221 25
40 76 132 80
161 4 181 46
227 54 227 90
26 54 65 85
149 4 152 84
4 77 158 88
183 6 199 30
53 35 106 71
63 58 152 81
253 36 253 42
158 58 158 75
109 76 168 91
204 46 208 71
29 91 191 91
93 27 189 66
158 56 168 84
45 85 147 91
227 65 232 70
157 42 223 50
69 85 129 89
221 12 230 85
24 87 112 87
198 31 199 42
201 16 221 54
66 52 134 61
153 5 184 11
200 27 225 89
84 10 86 27
107 47 243 83
45 28 101 82
110 21 184 49
27 56 125 67
241 60 248 76
204 10 234 60
45 16 76 31
48 22 117 68
187 22 238 22
123 91 142 91
244 53 251 73
87 39 168 50
212 89 218 91
15 92 135 92
252 86 254 91
81 74 141 75
57 74 194 80
133 79 174 85
154 64 168 64
172 70 186 72
38 18 206 52
82 32 110 45
139 80 222 84
21 70 99 85
111 22 249 44
49 24 107 69
72 26 227 85
167 4 231 89
71 51 151 62
113 65 199 79
210 84 221 85
189 1 203 9
18 43 32 74
201 32 244 77
135 6 183 16
190 62 217 92
58 61 145 84
167 12 211 76
110 39 232 82
240 56 252 59
247 40 248 48
124 17 227 87
9 1 43 83
199 47 206 82
39 16 104 17
20 41 164 77
33 88 225 90
54 66 208 80
152 62 190 83
221 63 247 66
30 87 155 91
253 4 255 55
91 56 228 79
189 39 224 53
206 87 209 87
124 60 236 90
147 21 244 42
97 19 204 37
62 7 193 92
255 37 255 84
69 19 201 19
11 63 146 74
255 6 255 77
149 1 230 19
169 80 177 86
99 52 223 63
3 77 56 79
83 29 108 42
249 72 250 77
73 8 153 12
98 14 245 60
180 18 219 68
66 84 158 85
34 52 216 52
173 18 215 90
94 17 243 73
49 61 207 78
41 31 236 90
69 30 82 40
244 7 255 65
101 4 159 12
63 24 132 72
32 78 249 78
235 16 252 50
196 6 218 9
189 84 209 87
159 32 183 61
84 27 98 54
67 33 70 88
66 50 67 50
224 48 244 83
44 71 186 82
183 25 192 48
128 38 213 92
138 52 173 59
179 90 253 91
171 58 219 58
21 86 77 87
27 1 163 45
179 22 189 28
44 83 134 85
205 69 208 90
192 19 216 48
86 6 170 81
22 4 84 66
132 68 159 77
158 72 184 85
246 44 253 80
106 46 164 82
102 74 113 89
164 81 249 87
232 84 255 91
27 75 165 76
197 19 198 34
92 22 165 60
210 17 235 33
221 14 249 32
109 37 222 47
58 81 72 81
119 51 181 68
121 18 229 46
109 23 130 29
108 43 252 56
7 2 255 75
23 43 61 72
235 17 250 21
43 24 167 47
242 73 248 81
19 62 137 73
118 37 125 57
137 54 240 63
55 27 224 27
201 56 209 65
79 83 134 92
196 37 207 58
49 82 149 88
236 86 238 90
63 45 207 61
147 87 236 87
233 7 233 9
205 57 242 57
229 27 250 48
246 41 253 53
107 71 132 88
177 51 231 80
10 58 179 87
139 88 166 88
139 55 180 76
31 87 79 88
102 3 161 40
87 52 235 58
63 28 212 68
48 44 105 65
252 69 254 70
26 50 239 56
233 18 244 62
222 66 250 68
230 42 249 78
157 73 166 75
46 12 122 92
88 66 157 82
35 37 94 68
8 36 208 80
58 33 206 64
205 73 214 77
229 46 248 53
168 52 227 81
29 52 173 89
65 28 215 63
106 55 165 89
71 92 208 92
19 80 194 85
87 69 237 69
67 8 183 18
247 2 250 65
85 79 181 89
37 31 116 70
165 90 195 91
104 74 241 86
111 42 208 52
132 1 195 54
194 23 214 26
48 3 204 29
6 6 125 86
96 27 110 34
139 15 174 27
34 71 74 77
174 75 178 91
135 86 209 86
12 16 178 48
155 30 212 82
62 4 225 68
246 63 249 66
53 82 55 82
81 6 180 49
149 29 150 92
50 35 210 90
45 90 148 91
38 32 172 47
117 86 244 89
140 84 172 92
162 2 235 19
115 25 158 55
74 65 76 88
253 41 253 81
22 42 32 64
224 25 250 46
3 64 108 64
109 85 138 89
52 35 152 43
44 57 205 80
88 42 144 82
134 40 171 74
27 91 123 91
128 28 211 81
38 5 248 76
6 35 102 72
178 27 178 42
65 72 142 84
176 86 212 92
138 79 224 85
116 10 170 52
94 33 185 62
126 5 218 85
104 13 162 77
197 75 222 82
158 74 203 87
164 61 171 77
239 11 243 84
191 59 191 73
246 69 249 72
19 66 203 84
74 60 240 73
254 50 254 63
210 7 249 51
235 28 252 79
61 75 231 88
250 49 251 61
107 16 246 27
204 13 218 66
6 80 220 90
206 58 226 64
18 6 199 8
34 43 48 53
31 88 212 91
12 5 116 24
129 77 177 86
247 73 252 86
153 28 246 55
12 83 157 84
176 55 189 55
72 21 105 21
100 21 171 48
60 6 115 66
32 65 249 85
199 4 249 40
38 17 67 85
240 90 255 90
170 7 235 41
63 42 186 48
